metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_sending,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_waiting,1751530203,130.138900,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_receiving,1751530203,0.911900,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
http_req_failed,1751530203,0.000000,,,,true,::Get Schedule by ID,GET,/schedule/:id,HTTP/1.1,default,,200,,,/schedule/:id,,
checks,1751530203,1.000000,load class success,,,,::Get Schedule by ID,,,,default,,,,,,,
group_duration,1751530203,131.050800,,,,,::Get Schedule by ID,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_duration,1751530203,98.333700,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_blocked,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_connecting,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_tls_handshaking,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_sending,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_waiting,1751530203,98.333700,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_receiving,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
http_req_failed,1751530203,0.000000,,,,true,::Claim Lock,POST,/claim/lock,HTTP/1.1,default,,201,,,/claim/lock,,
checks,1751530203,1.000000,claim lock success,,,,::Claim Lock,,,,default,,,,,,,
group_duration,1751530203,98.333700,,,,,::Claim Lock,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_duration,1751530203,37.244200,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_blocked,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_connecting,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_tls_handshaking,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_sending,1751530203,0.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_waiting,1751530203,36.336400,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_receiving,1751530203,0.907800,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
http_req_failed,1751530203,1.000000,,,1500,false,::Claim Entry,POST,/claim/entry/:sessionId,HTTP/1.1,default,,500,,,/claim/entry/:sessionId,,
checks,1751530203,0.000000,claim entry success,,,,::Claim Entry,,,,default,,,,,,,
group_duration,1751530203,37.244200,,,,,::Claim Entry,,,,default,,,,,,,
http_reqs,1751530203,1.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_duration,1751530203,60.384300,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_blocked,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
http_req_connecting,1751530203,0.000000,,,,true,::Get Booking by Order ID,GET,/booking/order/:id,HTTP/1.1,default,,200,,,/booking/order/:id,,
